,area,labels,file,fov,well,roi
0,336.0,1,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A1ROI3,A1,3
1,1250.0,2,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A1ROI3,A1,3
2,426.0,3,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A1ROI3,A1,3
0,155.0,1,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3,B3,3
1,428.0,2,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3,B3,3
2,361.0,3,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3,B3,3
3,241.0,4,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3,B3,3
4,179.0,5,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3,B3,3
5,169.0,6,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3,B3,3
6,373.0,7,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3,B3,3
7,483.0,8,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3,B3,3
8,306.0,9,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B3ROI3,B3,3
0,655.0,1,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5,A2,5
1,80.0,2,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5,A2,5
2,297.0,3,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5,A2,5
3,19.0,4,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5,A2,5
4,157.0,5,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5,A2,5
5,59.0,6,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5,A2,5
6,134.0,7,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5,A2,5
7,847.0,8,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5,A2,5
8,373.0,9,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/A2ROI5,A2,5
0,383.0,1,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B1ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B1ROI1,B1,1
1,313.0,2,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B1ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B1ROI1,B1,1
0,365.0,1,"/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B1ROI3_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_formulations/241123_171828_jg_ve_norha_mw_encapsulation_first_try/241123_173259_Plate 1/#24B2362280_ZProj/B1ROI3,B1,3
