,area,labels,file,fov,well,roi
0,458.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1,C1,1
1,144.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1,C1,1
0,93.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
1,26.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
2,81.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
3,340.0,4,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
4,247.0,5,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
5,188.0,6,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
0,214.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI2,D2,2
1,205.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D2ROI2,D2,2
0,706.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI2_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI2,D3,2
0,464.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI5,D1,5
1,683.0,2,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI5,D1,5
2,481.0,3,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D1ROI5,D1,5
0,1163.0,1,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI5,C1,5
