,axis_major_length,axis_minor_length,perimeter,area,eccentricity,labels,aspect,form_factor,boundary,file,fov,well,roi
0,69.72454132417931,56.27788968113455,208.65180361560903,3067.0,0.590351774602318,1,1.2389331177702696,0.885277351674719,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1,C1,1
1,52.519396477268195,50.76748599684899,169.53910524340094,2091.0,0.25612903496794104,2,1.0345085135893461,0.9141640180327738,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1,C1,1
2,63.86225452555014,57.99321649125155,200.40916292848976,2907.0,0.41875666461506517,3,1.1012021472405131,0.9095356947820347,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1,C1,1
3,54.733285057637346,50.91297876349885,172.2670273047588,2186.0,0.3670495098048335,4,1.075036000385768,0.9256689636912497,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1,C1,1
4,82.51424860298013,65.91982935268715,243.9655121145938,4263.0,0.6014768122875785,5,1.2517363805890456,0.9000534943237923,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/C1ROI1,C1,1
0,67.04565025933255,58.895099631012684,206.3086578651014,3091.0,0.47786586048442814,1,1.1383909812426565,0.9125863352764568,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
1,51.7287166271855,46.92973677085095,162.50966799187808,1898.0,0.42063936309067806,2,1.1022588274843104,0.9031245874085266,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
2,51.911506704238015,50.19097290120292,166.2670273047588,2042.0,0.2553207521634865,3,1.0342797460097424,0.9282251634065077,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
3,79.40010252804123,63.93988190793326,236.55129855222071,3978.0,0.5928849917823084,4,1.2417930743502008,0.8933547890558429,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
4,53.58200658877927,49.218147710282324,167.4386001800126,2071.0,0.39528766162384826,5,1.0886636145712831,0.9282795729771048,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
5,57.46268270772752,55.67934294048983,186.99494936611666,2508.0,0.2471969593397205,6,1.032028750216103,0.9013171668973007,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
6,53.81805984465514,48.838588228292124,168.61017305526644,2056.0,0.4201043061230581,7,1.1019577304955432,0.9087939476416139,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
7,67.1628349604134,45.24682216969034,192.16652224137044,2298.0,0.7390155294922209,8,1.4843657905638294,0.7819958122907532,False,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
8,52.122296636722574,27.739761065914333,134.08326112068522,1086.0,0.8466153484968004,9,1.8789742461325185,0.7590852646038686,True,"/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5_-2_2_1_ZProj[Confocal TRITC 556,600]_001.tif",/mnt/z/James/norbornene homopolymerization/same_mechanics/241215_132704_jg_ve_norha_mw_encapsulation_mech_match_liveDead_40k_60k/241215_133638_Plate 1/#24B2362280_ZProj/D3ROI5,D3,5
