Project:,jg_norb_homopolymerization_diff_mws,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Test:,4.35wt%_4armPEG_4mM_LAP_1x_adpep&CDHA_r1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interval and data points:,1,1,,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Strain,Shear Stress,Frequency
,,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[%],[Pa],[Hz]
,1,10,34.15,22.54,,,,,0.025,-0.02,27.064,Dy_auto,1.5E+05,6.6339,
,,,,,,,,,,,,,,,
Interval and data points:,2,1,,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Strain,Shear Stress,Frequency
,,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[%],[Pa],[Hz]
,1,20,44.15,22.55,,,,,0.025,-0.02,-0.013345,Dy_auto,2E+05,-0.0032712,
,,,,,,,,,,,,,,,
Result:,UV Cure,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interval and data points:,1,10,,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Strain,Shear Stress,Frequency
,,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[%],[Pa],[Hz]
,1,1,56.86,22.55,9.246,0.91303,0.0987,739.36,0.025,-0.02,0.37846,"MV-,WMa,TruStrain™",0.998,0.092769,2
,2,2,57.86,22.55,7.7817E-05,1.5563,2E+04,123.85,0.025,-0.02,0.063495,"ME-,WMa,taD,TruStrain™",1,0.015564,2
,3,3,58.86,22.55,6.3328E-05,1.2666,2E+04,100.79,0.025,-0.02,0.051673,"ME-,WMa,taD,TruStrain™",1,0.012666,2
,4,4,59.86,22.55,6.0589E-05,1.2118,2E+04,96.43,0.025,-0.02,0.049537,"ME-,WMa,taD,TruStrain™",1,0.012143,2
,5,5,60.86,22.55,7.5661E-05,1.5132,2E+04,120.42,0.025,-0.02,0.061947,"ME-,WMa,taD,TruStrain™",1,0.015185,2
,6,6,61.86,22.55,7.3758E-05,1.4752,2E+04,117.39,0.025,-0.02,0.060435,"ME-,WMa,taD,TruStrain™",1,0.014814,2
,7,7,62.86,22.55,7.9418E-05,1.5884,2E+04,126.4,0.025,-0.02,0.065102,"ME-,WMa,taD,TruStrain™",1,0.015958,2
,8,8,63.86,22.55,7.055E-05,1.411,2E+04,112.28,0.025,-0.02,0.057842,"ME-,WMa,taD,TruStrain™",1,0.014178,2
,9,9,64.86,22.55,7.079E-05,1.4158,2E+04,112.67,0.025,-0.02,0.058042,"ME-,WMa,taD,TruStrain™",1,0.014228,2
,10,10,65.86,22.55,6.8129E-05,1.3626,2E+04,108.43,0.025,-0.02,0.055861,"ME-,WMa,taD,TruStrain™",1,0.013693,2
,,,,,,,,,,,,,,,
Interval and data points:,2,94,,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Strain,Shear Stress,Frequency
,,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[%],[Pa],[Hz]
,1,10.502,66.36,22.55,7.3063E-05,1.4613,2E+04,116.28,0.025,-0.02,0.059916,"ME-,WMa,taD,TruStrain™",1.01,0.014687,2
,2,11.019,66.88,22.55,7.1263E-05,1.4253,2E+04,113.42,0.025,-0.02,0.058426,"ME-,WMa,taD,TruStrain™",1,0.014322,2
,3,11.552,67.41,22.55,7.1622E-05,1.4324,2E+04,113.99,0.025,-0.02,0.058736,"ME-,WMa,taD,TruStrain™",1.01,0.014398,2
,4,12.103,67.96,22.55,6.5863E-05,1.3173,2E+04,104.82,0.025,-0.02,0.054009,"ME-,WMa,taD,TruStrain™",1.01,0.013239,2
,5,12.672,68.53,22.55,7.821E-05,1.5642,2E+04,124.47,0.025,-0.02,0.064144,"ME-,WMa,taD,TruStrain™",1.01,0.015723,2
,6,13.259,69.12,22.55,7.9556E-05,1.5911,2E+04,126.62,0.025,-0.02,0.065234,"ME-,WMa,taD,TruStrain™",1,0.01599,2
,7,13.866,69.72,22.55,8.5814E-05,1.7163,2E+04,136.58,0.025,-0.02,0.070369,"ME-,WMa,taD,TruStrain™",1.01,0.017249,2
,8,14.492,70.35,22.55,9.7651E-05,1.953,2E+04,155.42,0.025,-0.02,0.080079,"ME-,WMa,taD,TruStrain™",1.01,0.019629,2
,9,15.139,71,22.55,0.000123,2.4599,2E+04,195.75,0.025,-0.02,0.1009,"ME-,WMa,taD,TruStrain™",1.01,0.024732,2
,10,15.807,71.66,22.55,0.00014126,2.8251,2E+04,224.81,0.025,-0.02,0.11583,"ME-,WMa,taD,TruStrain™",1.01,0.028394,2
,11,16.497,72.35,22.55,0.00016336,3.2672,2E+04,260,0.025,-0.02,0.13399,"ME-,WMa,taD,TruStrain™",1.01,0.032845,2
,12,17.21,73.07,22.55,0.00019473,3.8946,2E+04,309.92,0.025,-0.02,0.15971,"ME-,WMa,taD,TruStrain™",1.01,0.039149,2
,13,17.946,73.8,22.55,0.00023026,4.6052,2E+04,366.47,0.025,-0.02,0.18885,"ME-,WMa,taD,TruStrain™",1.01,0.046292,2
,14,18.706,74.56,22.55,0.00027155,5.431,2E+04,432.19,0.025,-0.02,0.22273,"ME-,WMa,taD,TruStrain™",1.01,0.054598,2
,15,19.491,75.35,22.55,0.0003196,6.3921,2E+04,508.67,0.025,-0.02,0.26209,"ME-,WMa,taD,TruStrain™",1.01,0.064245,2
,16,20.301,76.16,22.55,0.00037282,7.4564,2E+04,593.36,0.025,-0.02,0.30578,"ME-,WMa,taD,TruStrain™",1.01,0.074955,2
,17,21.139,77,22.55,0.0004352,8.704,2E+04,692.65,0.025,-0.02,0.35692,"ME-,WMa,taD,TruStrain™",1.01,0.087491,2
,18,22.003,77.86,22.55,0.00049621,9.9243,2E+04,789.75,0.025,-0.02,0.40688,"ME-,WMa,taD,TruStrain™",1,0.099737,2
,19,22.896,78.75,22.55,0.00056564,11.313,2E+04,900.24,0.025,-0.02,0.46384,"ME-,WMa,taD,TruStrain™",1.01,0.1137,2
,20,23.818,79.68,22.55,0.00064372,12.874,2E+04,1024.5,0.025,-0.02,0.52784,"ME-,WMa,taD,TruStrain™",1,0.12939,2
,21,24.77,80.63,22.55,0.00072418,14.484,2E+04,1152.6,0.025,-0.02,0.59388,"ME-,WMa,taD,TruStrain™",1.01,0.14557,2
