Project:,jg_norha_diff_lap_concs,,,,,,,,,,,
,,,,,,,,,,,,
Test:,2wt%_23mod_norha_1mm_LAP_r1,,,,,,,,,,,
,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,
,,,,,,,,,,,,
Interval and data points:,1,1,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status
,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],
,1,10,25.91,22.09,,,,,0.025,-0.02,2.4463,Dy_auto
,,,,,,,,,,,,
Interval and data points:,2,1,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status
,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],
,1,20,35.91,22.09,,,,,0.025,-0.01,0.017806,Dy_auto
,,,,,,,,,,,,
Result:,UV Cure ,,,,,,,,,,,
,,,,,,,,,,,,
Interval and data points:,1,10,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status
,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],
,1,1,193.1,22.14,1004,2056.7,2.05,3.6426E+05,0.025,-0.03,71.237,"MV-,WMa,TruStrain™"
,2,2,194.1,22.14,1.3634,7.1879,5.27,1164.4,0.025,-0.03,0.30014,"ME-,MV-,WMa,taD,TruStrain™"
,3,3,195.1,22.14,6.9418E-05,1.3884,2E+04,220.96,0.025,-0.03,0.056324,"ME-,WMa,taD,TruStrain™"
,4,4,196.1,22.14,0.32495,0.30942,0.952,71.413,0.025,-0.03,0.018359,"MV-,WMa,TruStrain™"
,5,5,197.1,22.14,2.8893E-05,0.57786,2E+04,91.97,0.025,-0.03,0.023683,"ME-,WMa,taD,TruStrain™"
,6,6,198.1,22.14,0.16421,0.026178,0.159,26.466,0.025,-0.04,0.0068169,"WMa,TruStrain™"
,7,7,199.1,22.14,9.2683E-06,0.18537,2E+04,29.502,0.025,-0.04,0.0076003,"ME-,WMa,taD,TruStrain™"
,8,8,200.1,22.14,0.029345,0.11939,4.07,19.567,0.025,-0.04,0.0050406,"MV-,WMa,taD,TruStrain™"
,9,9,201.1,22.14,9.8552E-06,0.1971,2E+04,31.37,0.025,-0.04,0.0080818,"ME-,MV-,WMa,taD,TruStrain™"
,10,10,202.1,22.14,5.6729E-06,0.11346,2E+04,18.057,0.025,-0.04,0.0046518,"ME-,WMa,taD,TruStrain™"
,,,,,,,,,,,,
Interval and data points:,2,138,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status
,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],
,1,10.102,202.2,22.14,3.6567E-06,0.073135,2E+04,11.64,0.025,-0.04,0.0029985,"ME-,WMa,taD,TruStrain™"
,2,10.206,202.3,22.14,4.9174E-06,0.098348,2E+04,15.653,0.025,-0.04,0.0040324,"ME-,WMa,taD,TruStrain™"
,3,10.313,202.4,22.14,5.9497E-06,0.11899,2E+04,18.938,0.025,-0.04,0.0048788,"ME-,WMa,taD,TruStrain™"
,4,10.423,202.5,22.14,3.8934E-06,0.077869,2E+04,12.393,0.025,-0.04,0.0031928,"ME-,WMa,taD,TruStrain™"
,5,10.538,202.6,22.14,4.4124E-06,0.088248,2E+04,14.045,0.025,-0.04,0.0036183,"ME-,WMa,taD,TruStrain™"
,6,10.656,202.7,22.14,3.3795E-06,0.06759,2E+04,10.757,0.025,-0.04,0.0027713,"ME-,WMa,taD,TruStrain™"
