Project:,Project145,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Test:,60k_r1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Time Sweep,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,30,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Shear Strain,Shear Stress,Gap,Normal Force,Torque,Status
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[%],[Pa],[mm],[N],[µN·m],
,1,1,8.49,26.11,11126,0.5563,5E-05,1.7708E+06,0.789,87.813,0.7,0.07,13.213,"ME-,WMa,taD,TruStrain™"
,2,2,9.49,26.1,230.24,342.17,1.49,65639,1,4.1245,0.7,0.07,0.62061,"MV-,WMa,TruStrain™"
,3,3,10.49,26.16,1063.1,13.772,0.013,1.6921E+05,1,10.632,0.7,0.08,1.5998,"MV-,WMa,TruStrain™"
,4,4,11.49,26.2,676.35,176.46,0.261,1.1125E+05,1,7.0003,0.7,0.08,1.0533,"WMa,TruStrain™"
,5,5,12.49,26.11,673.23,175.04,0.26,1.1071E+05,1,6.9803,0.7,0.08,1.0503,"WMa,TruStrain™"
,6,6,13.49,26.14,686.11,165.41,0.241,1.1233E+05,1,7.0881,0.7,0.08,1.0665,"WMa,TruStrain™"
,7,7,14.49,26.13,680.19,178.08,0.262,1.119E+05,1,7.0649,0.7,0.07,1.063,"WMa,TruStrain™"
,8,8,15.49,26.13,689.19,167.91,0.244,1.129E+05,1,7.1288,0.7,0.07,1.0727,"WMa,TruStrain™"
,9,9,16.49,26.12,679.54,174.64,0.257,1.1167E+05,1.01,7.0515,0.7,0.07,1.061,"WMa,TruStrain™"
,10,10,17.49,26.15,685.89,173.74,0.253,1.1261E+05,1.01,7.1113,0.7,0.07,1.07,"WMa,TruStrain™"
,11,11,18.49,26.19,689.95,172.2,0.25,1.1318E+05,1.01,7.147,0.7,0.07,1.0754,"WMa,TruStrain™"
,12,12,19.49,26.16,690.94,171.3,0.248,1.133E+05,1.01,7.1545,0.7,0.07,1.0765,"WMa,TruStrain™"
,13,13,20.49,26.18,691.92,167.37,0.242,1.133E+05,1.01,7.1546,0.7,0.07,1.0765,"WMa,TruStrain™"
,14,14,21.49,26.18,681.37,189.83,0.279,1.1257E+05,1.01,7.109,0.7,0.07,1.0697,"WMa,TruStrain™"
,15,15,22.49,26.12,723.18,151.99,0.21,1.1761E+05,1,7.4266,0.7,0.07,1.1175,"WMa,TruStrain™"
,16,16,23.49,26.12,663.45,197.11,0.297,1.1015E+05,1.01,6.9569,0.7,0.07,1.0468,"WMa,TruStrain™"
,17,17,24.49,26.15,729.24,155.56,0.213,1.1867E+05,1,7.4931,0.7,0.07,1.1275,"WMa,TruStrain™"
,18,18,25.49,26.16,670.32,184.53,0.275,1.1065E+05,1.01,6.9881,0.7,0.07,1.0515,"WMa,TruStrain™"
,19,19,26.49,26.15,699.58,170.64,0.244,1.1461E+05,1,7.2369,0.7,0.07,1.0889,"WMa,TruStrain™"
,20,20,27.49,26.1,697.4,172.79,0.248,1.1435E+05,1.01,7.2212,0.7,0.07,1.0866,"WMa,TruStrain™"
,21,21,28.49,26.23,702.86,171.1,0.243,1.1513E+05,1.01,7.2702,0.7,0.07,1.0939,"WMa,TruStrain™"
,22,22,29.49,26.22,703.49,174.27,0.248,1.1535E+05,1.01,7.2839,0.7,0.07,1.096,"WMa,TruStrain™"
,23,23,30.49,26.1,692.48,175.98,0.254,1.1371E+05,1.01,7.1809,0.7,0.07,1.0805,"WMa,TruStrain™"
,24,24,31.49,26.14,704.22,169.66,0.241,1.1529E+05,1.01,7.2802,0.7,0.07,1.0954,"WMa,TruStrain™"
,25,25,32.49,26.18,691.38,180.03,0.26,1.1371E+05,1.01,7.1805,0.7,0.07,1.0804,"WMa,TruStrain™"
,26,26,33.49,26.17,707.13,173.28,0.245,1.1587E+05,1.01,7.3172,0.7,0.07,1.101,"WMa,TruStrain™"
,27,27,34.49,26.14,719.03,169.5,0.236,1.1757E+05,1,7.4242,0.7,0.07,1.1171,"WMa,TruStrain™"
,28,28,35.49,26.1,702.02,174.93,0.249,1.1515E+05,1.01,7.2715,0.7,0.07,1.0941,"WMa,TruStrain™"
,29,29,36.49,26.18,696.97,180.09,0.258,1.1457E+05,1.01,7.235,0.7,0.07,1.0886,"WMa,TruStrain™"
,30,30,37.49,26.23,717.03,170.47,0.238,1.173E+05,1.01,7.4072,0.7,0.07,1.1146,"WMa,TruStrain™"
,,,,,,,,,,,,,,
Result:,Stress Relaxation,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,94,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Shear Strain,Shear Stress,Gap,Normal Force,Torque,Status
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[%],[Pa],[mm],[N],[µN·m],
,1,0.5,47.17,26.18,,,,,10,61.52,0.7,0.07,9.2569,Dy_auto
,2,1.009,47.68,26.15,,,,,10,56.132,0.7,0.07,8.4461,Dy_auto
,3,1.527,48.2,26.15,,,,,10,52.158,0.7,0.07,7.8481,Dy_auto
,4,2.055,48.73,26.15,,,,,10,51.038,0.7,0.07,7.6796,Dy_auto
,5,2.592,49.26,26.16,,,,,10,49.885,0.7,0.07,7.5061,Dy_auto
,6,3.138,49.81,26.18,,,,,10,45.875,0.7,0.07,6.9027,Dy_auto
,7,3.694,50.36,26.17,,,,,10,47.95,0.7,0.07,7.215,Dy_auto
,8,4.26,50.93,26.15,,,,,10,46.873,0.7,0.07,7.053,Dy_auto
,9,4.836,51.51,26.13,,,,,10,47.91,0.7,0.07,7.209,Dy_auto
,10,5.423,52.09,26.12,,,,,10,49.038,0.7,0.07,7.3786,Dy_auto
,11,6.02,52.69,26.17,,,,,10,47.917,0.7,0.07,7.21,Dy_auto
,12,6.627,53.3,26.22,,,,,10,45.941,0.7,0.07,6.9127,Dy_auto
,13,7.246,53.92,26.2,,,,,10,44.469,0.7,0.07,6.6912,Dy_auto
,14,7.875,54.55,26.2,,,,,10,44.143,0.7,0.07,6.6421,Dy_auto
,15,8.516,55.19,26.16,,,,,10,44.484,0.7,0.07,6.6935,Dy_auto
,16,9.169,55.84,26.2,,,,,10,43.445,0.7,0.07,6.537,Dy_auto
,17,9.833,56.5,26.14,,,,,10,44.421,0.7,0.07,6.6839,Dy_auto
,18,10.508,57.18,26.14,,,,,10,43.433,0.7,0.07,6.5353,Dy_auto
,19,11.196,57.87,26.19,,,,,10,43.886,0.7,0.07,6.6034,Dy_auto
,20,11.897,58.57,26.14,,,,,10,45.439,0.7,0.07,6.8371,Dy_auto
,21,12.609,59.28,26.19,,,,,10,42.975,0.7,0.07,6.4664,Dy_auto
,22,13.335,60.01,26.14,,,,,10,43.174,0.7,0.07,6.4963,Dy_auto
,23,14.073,60.74,26.18,,,,,10,42.638,0.7,0.07,6.4157,Dy_auto
,24,14.825,61.5,26.19,,,,,10,41.732,0.7,0.07,6.2794,Dy_auto
,25,15.59,62.26,26.25,,,,,10,42.284,0.7,0.07,6.3625,Dy_auto
,26,16.369,63.04,26.13,,,,,10,41.357,0.7,0.07,6.2229,Dy_auto
,27,17.162,63.83,26.16,,,,,10,41.66,0.7,0.07,6.2686,Dy_auto
,28,17.969,64.64,26.25,,,,,10,42.155,0.7,0.07,6.343,Dy_auto
,29,18.79,65.46,26.24,,,,,10,39.641,0.7,0.07,5.9648,Dy_auto
,30,19.626,66.3,26.22,,,,,10,42.315,0.7,0.07,6.3671,Dy_auto
,31,20.477,67.15,26.19,,,,,10,42.508,0.7,0.07,6.3961,Dy_auto
,32,21.344,68.01,26.18,,,,,10,41.069,0.7,0.07,6.1796,Dy_auto
,33,22.225,68.9,26.18,,,,,10,40.868,0.7,0.07,6.1493,Dy_auto
,34,23.123,69.79,26.23,,,,,10,40.318,0.7,0.07,6.0666,Dy_auto
,35,24.036,70.71,26.13,,,,,10,41.063,0.7,0.07,6.1787,Dy_auto
,36,24.966,71.64,26.17,,,,,10,40.029,0.7,0.07,6.0231,Dy_auto
,37,25.913,72.58,26.18,,,,,10,41.043,0.7,0.07,6.1757,Dy_auto
,38,26.876,73.55,26.18,,,,,10,41.041,0.7,0.07,6.1753,Dy_auto
,39,27.857,74.53,26.17,,,,,10,38.914,0.7,0.07,5.8553,Dy_auto
,40,28.855,75.53,26.16,,,,,10,40.42,0.7,0.07,6.082,Dy_auto
,41,29.871,76.54,26.2,,,,,10,39.698,0.7,0.07,5.9733,Dy_auto
,42,30.905,77.58,26.19,,,,,10,40.005,0.7,0.07,6.0196,Dy_auto
,43,31.958,78.63,26.19,,,,,10,39.486,0.7,0.07,5.9413,Dy_auto
,44,33.03,79.7,26.19,,,,,10,39.92,0.7,0.07,6.0067,Dy_auto
,45,34.121,80.79,26.19,,,,,10,39.422,0.7,0.07,5.9318,Dy_auto
,46,35.231,81.9,26.15,,,,,10,40.142,0.7,0.07,6.0401,Dy_auto
,47,36.361,83.03,26.2,,,,,10,40.036,0.7,0.07,6.0242,Dy_auto
,48,37.511,84.18,26.24,,,,,10,38.974,0.7,0.07,5.8643,Dy_auto
,49,38.682,85.35,26.16,,,,,10,39.214,0.7,0.07,5.9004,Dy_auto
,50,39.874,86.54,26.14,,,,,10,38.892,0.7,0.07,5.852,Dy_auto
,51,41.087,87.76,26.21,,,,,10,39.408,0.7,0.07,5.9297,Dy_auto
,52,42.322,88.99,26.15,,,,,10,39.502,0.7,0.07,5.9438,Dy_auto
,53,43.579,90.25,26.21,,,,,10,39.735,0.7,0.07,5.9789,Dy_auto
,54,44.858,91.53,26.2,,,,,10,38.8,0.7,0.06,5.8382,Dy_auto
,55,46.161,92.83,26.19,,,,,10,38.835,0.7,0.06,5.8435,Dy_auto
,56,47.486,94.16,26.18,,,,,10,39.934,0.7,0.06,6.0088,Dy_auto
,57,48.836,95.51,26.23,,,,,10,39.422,0.7,0.06,5.9317,Dy_auto
,58,50.209,96.88,26.13,,,,,10,39.466,0.7,0.06,5.9384,Dy_auto
