Project:,jg_norb_homopolymerization_diff_mws,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Test:,2wt%_40kNorHA_4mM_LAP_0.5x_cysteine_r1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,1,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Strain,Shear Stress
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[%],[Pa]
,1,10,26.67,22.76,,,,,0.025,-0.03,0.2757,Dy_auto,1.5E+05,0.06758
,,,,,,,,,,,,,,
Interval and data points:,2,1,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Strain,Shear Stress
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[%],[Pa]
,1,20,36.67,22.76,,,,,0.025,-0.02,0.043469,Dy_auto,2E+05,0.010655
,,,,,,,,,,,,,,
Result:,UV Cure,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,20,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Strain,Shear Stress
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[%],[Pa]
,1,1,49,22.76,727.08,684.04,0.941,1.5888E+05,0.025,-0.01,30.472,"MV-,WMa,TruStrain™",0.748,7.4696
,2,2,50,22.76,29.12,11.984,0.412,5011.6,0.025,-0.01,1.2848,"MV-,WMa,TruStrain™",1,0.31494
,3,3,51,22.76,0.0015313,30.625,2E+04,4874.1,0.025,-0.01,1.2492,"ME-,MV-,WMa,taD,TruStrain™",1,0.30622
,4,4,52,22.76,0.98543,0.71003,0.721,193.31,0.025,-0.01,0.049622,"WMa,TruStrain™",1,0.012164
,5,5,53,22.76,0.76611,0.70207,0.916,165.39,0.025,-0.01,0.042545,"WMa,TruStrain™",1,0.010429
,6,6,54,22.76,0.76804,0.84796,1.1,182.09,0.025,-0.01,0.046873,"WMa,TruStrain™",1,0.01149
,7,7,55,22.76,0.67609,0.66747,0.987,151.21,0.025,-0.01,0.038945,"WMa,TruStrain™",1,0.0095464
,8,8,56,22.76,0.81021,0.86521,1.07,188.65,0.025,-0.01,0.048598,"WMa,TruStrain™",1,0.011913
,9,9,57,22.76,0.77362,0.96481,1.25,196.82,0.025,-0.01,0.050705,"WMa,TruStrain™",1.01,0.012429
,10,10,58,22.76,0.93306,0.74189,0.795,189.72,0.025,-0.01,0.048872,"WMa,TruStrain™",1,0.01198
,11,11,59,22.76,0.72624,0.79963,1.1,171.92,0.025,-0.01,0.044291,"WMa,TruStrain™",1.01,0.010857
,12,12,60,22.76,0.84761,0.75178,0.887,180.32,0.025,-0.02,0.046452,"WMa,TruStrain™",1.01,0.011387
,13,13,61,22.76,0.92505,0.88313,0.955,203.55,0.025,-0.01,0.05244,"WMa,TruStrain™",1.01,0.012854
,14,14,62,22.76,0.832,0.77331,0.929,180.78,0.025,-0.01,0.04657,"WMa,TruStrain™",1,0.011415
,15,15,63,22.76,0.89778,0.8545,0.952,197.26,0.025,-0.01,0.050819,"WMa,TruStrain™",1.01,0.012457
,16,16,64,22.76,0.93634,0.73833,0.789,189.78,0.025,-0.01,0.048887,"WMa,TruStrain™",1,0.011983
,17,17,65,22.76,0.80274,0.79201,0.987,179.48,0.025,-0.01,0.046241,"WMa,TruStrain™",1.01,0.011335
,18,18,66,22.76,0.86327,0.80117,0.928,187.45,0.025,-0.01,0.048288,"WMa,TruStrain™",1.01,0.011837
,19,19,67,22.76,0.88113,0.82936,0.941,192.59,0.025,-0.02,0.049615,"WMa,TruStrain™",1.01,0.012162
,20,20,68,22.76,0.84024,0.87449,1.04,193.01,0.025,-0.01,0.049726,"WMa,TruStrain™",1.01,0.012189
,,,,,,,,,,,,,,
Interval and data points:,2,94,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Strain,Shear Stress
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[%],[Pa]
,1,20.503,68.5,22.76,0.81445,0.85571,1.05,188.02,0.025,-0.02,0.048436,"WMa,TruStrain™",1.01,0.011873
,2,21.02,69.02,22.76,0.85848,0.84344,0.982,191.54,0.025,-0.02,0.049338,"WMa,TruStrain™",1,0.012094
,3,21.553,69.55,22.76,0.85137,0.79353,0.932,185.23,0.025,-0.02,0.047713,"WMa,TruStrain™",1,0.011696
,4,22.104,70.1,22.76,0.88382,0.84094,0.951,194.16,0.025,-0.02,0.050018,"WMa,TruStrain™",1,0.012261
,5,22.673,70.67,22.76,0.90588,0.8527,0.941,198,0.025,-0.02,0.051014,"WMa,TruStrain™",1.01,0.012505
,6,23.26,71.26,22.76,0.85401,0.79689,0.933,185.9,0.025,-0.01,0.047893,"WMa,TruStrain™",1.01,0.01174
,7,23.867,71.86,22.76,0.79358,0.90908,1.15,192.06,0.025,-0.02,0.049482,"WMa,TruStrain™",1.01,0.012129
,8,24.493,72.49,22.76,0.83651,0.88712,1.06,194.06,0.025,-0.01,0.049991,"WMa,TruStrain™",1,0.012254
,9,25.14,73.14,22.76,0.8047,0.78412,0.974,178.82,0.025,-0.02,0.04606,"WMa,TruStrain™",1,0.01129
,10,25.808,73.8,22.76,0.8528,0.78935,0.926,184.95,0.025,-0.02,0.047643,"WMa,TruStrain™",1,0.011678
,11,26.498,74.49,22.76,0.78909,0.77959,0.988,176.54,0.025,-0.02,0.045484,"WMa,TruStrain™",1.01,0.011149
,12,27.211,75.21,22.76,0.91758,0.75886,0.827,189.51,0.025,-0.01,0.048814,"WMa,TruStrain™",1,0.011966
,13,27.947,75.94,22.76,0.87514,0.8398,0.96,193.04,0.025,-0.02,0.049739,"WMa,TruStrain™",1.01,0.012192
,14,28.707,76.7,22.76,0.72493,0.82306,1.14,174.56,0.025,-0.02,0.044975,"WMa,TruStrain™",1.01,0.011025
